Model,Latency (ms/token),Memory (MB),Perplexity,Memory reduction,Latency change,PPL change
FP32 (baseline),31.759348,728.632812,26.413229,32.5%,+2.1%,+0.49%
INT8 (quantized),32.435042,491.577148,26.541712,32.5%,+2.1%,+0.49%
